CO(GT),PT08.S1(CO),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,C6H6(GT)
0.6,835.0,731.0,39.0,1108.0,54.0,1323.0,438.0,33.1,18.3,0.9081,4.4
0.9,914.0,801.0,42.0,965.0,57.0,1609.0,908.0,22.3,50.6,1.3486,5.8
0.7,893.0,696.0,48.0,1008.0,54.0,1548.0,801.0,22.1,56.2,1.48,3.7
2.2199999999999998,978.0,756.0,266.0,834.0,115.0,1015.0,878.0,2.4,86.6,0.6369,4.8
1.1400000000000001,891.0,789.0,102.6,960.0,65.6,1234.0,522.0,21.6,35.9,0.9164,5.5
0.9,905.0,670.0,79.0,1191.0,62.0,1346.0,820.0,10.2,65.8,0.8196,3.3
0.6,844.0,618.0,100.0,2095.0,63.0,1064.0,757.0,8.3,80.4,0.8861,2.5
1.1,977.0,737.0,75.6,1025.0,80.6,1450.0,686.0,17.8,49.5,0.9986,4.5
1.6,1184.0,782.0,83.0,1176.0,82.0,1365.0,1043.0,8.8,63.9,0.7256,5.4
2.0,1240.0,947.0,119.0,1049.0,116.0,1532.0,947.0,18.4,33.6,0.7042,9.2
2.0,985.0,805.0,240.0,895.0,107.0,1390.0,785.0,15.4,76.6,1.3334,5.8
1.8,1032.0,892.0,101.0,973.0,87.0,1457.0,756.0,20.6,30.0,0.7213,7.8
3.7,1209.0,1255.0,597.8,588.0,181.6,1447.0,1499.0,8.1,59.1,0.6397,18.5
3.5,1501.0,1071.0,185.0,823.0,119.0,1744.0,1130.0,17.8,48.1,0.9689,12.6
1.4,934.0,795.0,88.0,1098.0,93.0,1328.0,673.0,20.3,28.5,0.6686,5.6
2.9,1217.0,1037.0,443.0,669.0,138.0,1167.0,1452.0,13.3,38.7,0.5867,11.6
1.02,944.0,796.0,136.6,784.0,65.2,1407.0,1021.0,24.0,50.3,1.476,5.7
1.4600000000000002,1062.0,887.0,176.4,770.0,69.8,1473.0,866.0,15.1,82.3,1.4009,7.7
1.06,880.0,799.0,89.4,1097.0,74.6,1533.0,724.0,21.2,47.6,1.1799,5.7
2.2,1206.0,849.0,307.0,640.0,163.0,1245.0,1127.0,11.8,68.3,0.9432,6.8
1.3,943.0,703.0,169.0,950.0,119.0,870.0,581.0,4.3,48.6,0.4069,3.9
4.2,1527.0,1419.0,451.8,476.0,106.6,1966.0,1507.0,28.7,37.3,1.4486,24.6
5.42,1562.0,1559.0,696.4,453.0,154.4,2130.0,1918.0,28.6,37.3,1.4423,30.4
1.26,997.0,808.0,52.2,870.0,64.6,1447.0,662.0,38.8,19.1,1.3035,5.9
1.4,943.0,688.0,179.0,924.0,116.0,909.0,629.0,9.6,43.5,0.5202,3.6
3.3,1208.0,1191.0,467.0,573.0,130.0,1589.0,1415.0,19.5,50.1,1.1225,16.4
3.2,1189.0,999.0,411.0,680.0,129.0,1286.0,1115.0,6.2,84.1,0.8018,10.6
11.5,1918.0,1958.0,1358.0,335.0,190.0,2477.0,2237.0,11.5,76.2,1.0324,49.4
2.8,1203.0,1043.0,428.0,617.0,202.0,1470.0,1217.0,17.6,52.2,1.0396,11.8
3.2,1170.0,1095.0,358.0,618.0,116.0,1470.0,1195.0,15.2,58.4,1.0007,13.3
0.8400000000000001,935.0,737.0,41.8,869.0,43.6,1548.0,758.0,25.4,52.9,1.698,4.5
1.5,1069.0,844.0,185.0,767.0,63.0,1527.0,883.0,20.8,68.1,1.6585,6.7
3.1,1363.0,1192.0,531.0,499.0,148.0,1501.0,1637.0,13.4,57.9,0.8895,16.4
1.8,1142.0,1021.0,132.0,712.0,120.0,1670.0,1159.0,37.3,22.9,1.4369,11.2
1.8,1011.0,742.0,278.0,842.0,160.0,998.0,929.0,7.0,60.0,0.6055,4.6
2.6,1169.0,1163.0,280.0,708.0,124.0,1639.0,1025.0,34.3,23.2,1.2326,15.5
4.7,1282.0,1312.0,568.0,551.0,177.0,1671.0,1312.0,12.9,68.8,1.0175,20.6
1.2,893.0,701.0,185.0,935.0,84.0,1045.0,844.0,6.4,74.0,0.7134,3.8
0.5,888.0,528.0,77.0,1077.0,53.0,987.0,578.0,10.4,59.9,0.755,1.3
0.5,838.0,639.0,72.0,963.0,48.0,1391.0,596.0,20.8,64.9,1.571,2.8
0.9,1087.0,803.0,314.0,699.0,157.0,1130.0,907.0,11.6,54.7,0.7454,5.8
1.3,948.0,817.0,128.0,1048.0,92.0,1546.0,695.0,13.1,65.6,0.9815,6.1
2.2,1026.0,935.0,466.0,747.0,187.0,942.0,1151.0,7.5,24.3,0.2528,8.9
0.6,937.0,698.0,42.0,1039.0,64.0,1382.0,768.0,20.1,42.0,0.9763,3.8
1.4,953.0,817.0,242.0,872.0,156.0,891.0,603.0,28.9,9.9,0.3866,6.1
1.5,952.0,758.0,216.0,876.0,111.0,1203.0,794.0,15.6,60.1,1.0557,4.9
0.7,858.0,756.0,65.0,1159.0,73.0,1209.0,564.0,17.3,25.6,0.5032,4.8
0.9,903.0,618.0,183.0,933.0,121.0,899.0,575.0,14.2,36.9,0.5939,2.5
0.3,753.0,462.0,16.0,1822.0,25.0,955.0,274.0,13.9,30.9,0.4868,0.7
1.28,1035.0,855.0,142.0,731.0,51.0,1467.0,952.0,18.7,73.8,1.5704,7.0
1.8199999999999998,1051.0,1039.0,107.0,720.0,118.0,1641.0,916.0,29.7,28.1,1.1544,11.7
5.7,1606.0,1578.0,665.0,440.0,81.0,2205.0,1786.0,19.4,66.5,1.4801,31.2
0.62,867.0,693.0,66.6,971.0,50.8,1335.0,825.0,19.7,63.4,1.4383,3.7
2.2,1185.0,992.0,138.0,942.0,97.0,1448.0,1014.0,20.9,21.7,0.5295,10.4
3.9,1367.0,1225.0,551.0,485.0,265.0,1492.0,1628.0,6.3,74.9,0.7187,17.5
0.7,879.0,796.0,58.0,912.0,64.0,1454.0,747.0,21.1,47.1,1.1641,5.7
2.4,1283.0,1061.0,296.0,525.0,145.0,1434.0,1294.0,23.5,35.0,0.9977,12.3
3.0,1304.0,1157.0,176.0,793.0,122.0,1801.0,1171.0,16.1,47.6,0.8655,15.3
1.1,1054.0,779.0,111.0,1080.0,98.0,1266.0,1013.0,11.3,40.3,0.5376,5.3
0.6,873.0,704.0,41.0,1091.0,49.0,1322.0,756.0,15.3,49.7,0.8552,3.9
1.1,806.0,554.0,106.0,1206.0,77.0,807.0,783.0,4.0,50.4,0.4154,1.6
1.0,1033.0,711.0,220.0,893.0,115.0,935.0,893.0,6.4,43.8,0.423,4.0
1.5,1107.0,777.0,183.0,697.0,99.0,1221.0,945.0,13.1,66.1,0.9913,5.3
2.0,1061.0,928.0,267.0,730.0,118.0,1366.0,909.0,17.4,55.8,1.098,8.7
0.8,868.0,576.0,96.0,1128.0,78.0,755.0,363.0,10.3,27.7,0.3481,1.9
3.5,1210.0,947.0,457.0,697.0,121.0,1404.0,1060.0,13.9,76.7,1.2098,9.2
3.2,1356.0,1312.0,174.0,729.0,147.0,1865.0,1342.0,29.6,20.1,0.8181,20.6
0.54,776.0,525.0,87.0,1391.0,72.0,770.0,585.0,5.1,44.8,0.3967,1.3
4.1,1469.0,1403.0,758.0,452.0,134.0,1780.0,1665.0,8.8,73.2,0.8298,24.0
1.0399999999999998,970.0,592.0,190.0,909.0,120.0,1018.0,509.0,12.9,50.4,0.7448,2.1
0.3,896.0,668.0,227.0,1043.0,136.0,887.0,519.0,3.3,50.2,0.3934,3.3
0.6,919.0,661.0,54.8,1089.0,53.2,1468.0,838.0,14.9,65.7,1.1073,3.1
1.4,1082.0,939.0,76.0,869.0,84.0,1678.0,818.0,36.4,21.0,1.2515,9.0
1.7,1335.0,1141.0,482.0,512.0,133.0,1536.0,1501.0,13.7,67.0,1.0446,14.8
1.3,896.0,731.0,316.0,911.0,155.0,799.0,627.0,10.6,25.3,0.3224,4.4
1.0,836.0,734.0,53.0,1035.0,68.0,1501.0,801.0,20.8,51.7,1.2572,4.4
0.3,837.0,518.0,18.0,1581.0,29.0,1182.0,360.0,10.5,60.8,0.7704,1.2
1.1,1024.0,724.0,241.0,814.0,122.0,944.0,1198.0,2.0,64.9,0.4661,4.2
0.5,869.0,638.0,78.4,1219.0,56.4,1213.0,586.0,24.2,38.5,1.1491,2.8
1.6,1124.0,799.0,277.0,775.0,134.0,1231.0,969.0,12.8,65.5,0.964,5.7
1.3199999999999998,900.0,794.0,228.4,906.0,149.0,930.0,710.0,12.3,29.7,0.4226,5.6
2.5,1221.0,1032.0,166.0,811.0,131.0,1630.0,913.0,19.3,35.4,0.7813,11.5
3.2,1347.0,1282.0,190.0,575.0,136.0,1996.0,1661.0,29.1,34.8,1.38,19.5
2.1,1333.0,989.0,129.0,885.0,121.0,1621.0,1194.0,14.5,57.8,0.9456,10.3
0.9,935.0,628.0,126.0,995.0,111.0,986.0,611.0,4.4,77.1,0.6523,2.6
1.5,1128.0,891.0,88.0,838.0,89.0,1574.0,1125.0,17.4,55.6,1.0963,7.8
2.4,1311.0,1170.0,119.0,748.0,108.0,1787.0,1219.0,28.1,26.9,1.0094,15.7
3.8,1347.0,1212.0,750.0,527.0,179.0,1443.0,1568.0,9.3,67.1,0.7849,17.1
0.7,826.0,560.0,25.0,1424.0,39.0,1197.0,402.0,15.7,42.5,0.7539,1.7
5.6,1458.0,1123.0,527.0,540.0,164.0,1395.0,2030.0,9.6,65.9,0.7869,14.2
0.7,940.0,712.0,66.4,961.0,55.6,1499.0,848.0,20.6,76.2,1.8272,4.0
0.42000000000000004,875.0,654.0,43.2,1172.0,51.2,1375.0,683.0,14.9,57.6,0.9684,3.0
3.8,1315.0,1126.0,433.0,498.0,183.0,1537.0,1474.0,15.3,61.0,1.054,14.3
0.9,981.0,790.0,147.0,817.0,47.0,1390.0,898.0,18.2,70.1,1.4552,5.5
1.3,953.0,858.0,136.0,742.0,79.0,1544.0,780.0,22.8,58.5,1.5992,7.0
0.36,728.0,475.0,32.8,1436.0,23.8,1061.0,432.0,15.1,55.4,0.9439,0.8
0.5,852.0,641.0,83.0,1012.0,44.0,1172.0,710.0,17.0,64.5,1.2374,2.8
0.64,811.0,653.0,33.0,1120.0,45.0,1336.0,423.0,31.0,28.9,1.277,3.0
0.26,746.0,450.0,19.2,1807.0,27.2,1111.0,308.0,15.7,42.3,0.7464,0.6
4.4,1428.0,1437.0,335.0,599.0,144.2,2156.0,1526.0,22.6,39.5,1.0679,25.3
1.5,1094.0,857.0,289.0,739.0,96.0,1378.0,903.0,13.8,85.3,1.3412,7.0
2.9,1251.0,1097.0,181.0,771.0,143.0,1680.0,1280.0,22.2,34.4,0.9072,13.4
0.8,806.0,567.0,108.4,1163.0,81.6,878.0,490.0,9.4,45.4,0.5355,1.8
1.7,1236.0,920.0,164.0,880.0,94.0,1641.0,1012.0,14.4,58.9,0.9594,8.5
1.0,1015.0,781.0,72.0,796.0,70.0,1595.0,1181.0,23.8,55.4,1.6073,5.4
1.8,1035.0,1015.0,143.0,757.0,124.0,1651.0,940.0,24.2,35.9,1.0684,11.0
3.5,1274.0,1329.0,221.0,670.0,178.0,2054.0,1320.0,38.9,18.8,1.29,21.2
2.5,1222.0,1080.0,201.0,742.0,111.0,1755.0,1366.0,21.4,45.0,1.1291,12.9
2.3,1318.0,1033.0,143.0,950.0,99.0,1675.0,1068.0,24.4,29.4,0.8848,11.5
3.1,1316.0,1099.0,412.0,610.0,137.0,1451.0,1268.0,13.2,72.8,1.0984,13.4
4.5,1338.0,1244.0,592.0,558.0,144.0,1847.0,1255.0,20.2,79.1,1.85,18.1
1.2,1055.0,771.0,217.0,781.0,147.0,1030.0,1174.0,5.1,65.4,0.5797,5.1
2.0,1096.0,1083.0,310.0,971.0,129.0,1430.0,986.0,35.0,17.3,0.9542,13.0
0.5,887.0,647.0,50.0,1046.0,61.0,1500.0,740.0,25.1,48.0,1.5115,2.9
4.1,1205.0,1294.0,454.2,579.0,127.4,1744.0,1317.0,28.9,25.4,0.9933,19.9
1.0,926.0,727.0,119.0,925.0,65.0,1326.0,729.0,19.9,64.9,1.4905,4.3
0.2,655.0,402.0,20.0,2077.0,17.0,814.0,268.0,10.0,45.7,0.5598,0.2
2.3,1171.0,993.0,290.0,597.0,160.0,1208.0,841.0,25.0,23.4,0.7301,10.4
0.2,987.0,738.0,233.0,833.0,117.0,957.0,1010.0,3.8,59.7,0.4839,4.5
1.8199999999999998,990.0,942.0,287.4,776.0,92.8,1359.0,986.0,20.4,42.2,0.9964,9.1
1.9600000000000002,1059.0,958.0,238.6,787.0,103.8,1417.0,891.0,17.9,56.9,1.1545,9.5
1.5,1050.0,916.0,226.4,696.0,68.0,1512.0,997.0,19.3,71.1,1.5746,8.4
3.5,1423.0,1116.0,550.0,553.0,146.0,1531.0,1369.0,12.3,75.4,1.0768,14.0
0.1,872.0,662.0,211.0,1007.0,134.0,874.0,628.0,4.5,48.4,0.4131,3.2
3.3,1272.0,1328.0,333.0,567.0,108.0,2085.0,1463.0,19.6,54.3,1.2278,21.1
4.9,1560.0,1424.0,247.0,579.0,143.0,2176.0,1688.0,20.8,45.3,1.1016,24.8
2.7,1222.0,1133.0,282.0,624.0,96.0,1698.0,1195.0,24.9,49.2,1.5251,14.5
1.4,1070.0,1000.0,147.0,801.0,115.0,1538.0,1039.0,40.3,15.8,1.1604,10.6
0.78,992.0,565.0,121.0,912.0,84.0,1074.0,547.0,9.4,73.1,0.8621,1.8
0.2,1023.0,672.0,184.0,819.0,118.0,1069.0,595.0,12.4,53.4,0.7669,3.3
1.8,1207.0,879.0,103.0,1104.0,102.0,1490.0,872.0,21.4,30.2,0.7616,7.5
2.4,1099.0,1013.0,396.0,690.0,150.0,1056.0,1254.0,-1.9,51.4,0.2801,11.0
1.7,927.0,748.0,205.0,888.0,113.0,1157.0,696.0,15.9,54.9,0.9853,4.7
0.7,805.0,632.0,115.0,1176.0,63.0,1033.0,475.0,18.0,34.7,0.7089,2.7
1.3,959.0,792.0,165.0,913.0,77.8,1315.0,717.0,17.1,58.7,1.1332,5.6
3.3,1322.0,1219.0,574.0,682.0,130.0,1591.0,1472.0,14.5,61.1,1.0007,17.3
1.4,1019.0,730.0,188.0,811.0,143.0,1082.0,916.0,5.6,71.9,0.6604,4.4
0.8,807.0,623.0,157.0,1097.0,94.0,684.0,384.0,3.1,31.0,0.2386,2.6
3.2,1289.0,1087.0,564.0,587.0,102.0,1515.0,1208.0,14.1,81.4,1.3066,13.1
3.6,1424.0,1260.0,595.4,494.0,176.8,1568.0,1442.0,5.7,79.7,0.734,18.7
2.6,1248.0,1167.0,347.0,572.0,105.0,1704.0,1393.0,25.5,52.3,1.6796,15.6
2.7,1184.0,1084.0,357.0,612.0,71.0,1674.0,1151.0,19.3,75.8,1.6762,13.0
1.0,843.0,748.0,87.2,999.0,56.0,1179.0,505.0,22.1,35.2,0.9253,4.7
1.2,870.0,823.0,76.0,975.0,79.0,1398.0,848.0,24.0,31.2,0.919,6.2
0.5,840.0,586.0,25.0,1154.0,34.0,1499.0,492.0,26.1,60.3,2.012,2.0
6.3,1408.0,1502.0,692.0,640.0,178.0,1843.0,1598.0,11.6,64.3,0.8789,28.0
4.02,1425.0,1242.0,262.2,675.0,121.0,1858.0,1486.0,16.5,42.1,0.7856,18.1
2.2,1242.0,1022.0,266.0,630.0,83.0,1641.0,1139.0,24.8,56.4,1.7447,11.2
2.1,1327.0,971.0,124.0,803.0,89.0,1705.0,1120.0,21.6,41.7,1.0606,9.8
0.8,905.0,776.0,163.0,851.0,48.0,1327.0,825.0,15.2,78.0,1.3382,5.2
4.4,1312.0,1299.0,443.0,580.0,135.0,2016.0,1380.0,23.9,58.9,1.7276,20.1
3.4,1371.0,1105.0,514.0,553.0,169.0,1429.0,1581.0,13.3,63.6,0.9681,13.6
3.6,1387.0,1127.0,516.0,530.0,175.0,1430.0,1615.0,13.4,55.9,0.8588,14.3
1.5,1134.0,979.0,106.0,794.0,73.0,1639.0,1140.0,14.6,56.8,0.9385,10.0
2.4,1132.0,950.0,432.0,659.0,123.0,1253.0,1106.0,7.7,73.8,0.7769,9.3
1.9,1264.0,1016.0,186.0,624.0,76.0,1650.0,1062.0,28.9,44.3,1.7392,11.0
3.7,1394.0,1193.0,496.0,547.0,110.0,1811.0,1386.0,23.2,65.6,1.8435,16.4
0.9,873.0,675.0,57.0,1343.0,59.0,1181.0,396.0,19.4,25.7,0.5738,3.4
1.6600000000000001,1068.0,938.0,134.8,862.0,96.4,1575.0,1057.0,12.7,64.9,0.9506,9.0
0.68,852.0,684.0,33.8,982.0,46.4,1343.0,477.0,32.5,25.9,1.2437,3.5
2.3,982.0,990.0,378.0,745.0,140.0,1018.0,1059.0,15.1,20.8,0.3536,10.3
1.1,911.0,769.0,113.0,919.0,54.0,1340.0,791.0,18.9,60.7,1.311,5.1
0.6,931.0,623.0,37.0,1293.0,57.0,1307.0,828.0,12.0,58.9,0.8233,2.5
1.7,1167.0,838.0,240.0,660.0,128.0,1227.0,825.0,19.3,41.6,0.923,6.6
1.7,974.0,764.0,196.0,910.0,107.0,1029.0,992.0,9.5,51.0,0.6045,5.0
6.3,1604.0,1438.0,968.0,466.0,188.0,1650.0,2018.0,12.2,53.9,0.7617,25.4
2.5,1250.0,989.0,327.0,665.0,88.0,1343.0,1204.0,10.6,79.4,1.0133,10.3
0.6,766.0,515.0,86.0,1327.0,69.0,642.0,322.0,1.0,37.4,0.2487,1.2
1.1,994.0,829.0,108.0,784.0,78.0,1581.0,982.0,23.6,54.2,1.5583,6.4
0.6,926.0,639.0,34.0,1115.0,54.0,1409.0,814.0,15.9,60.1,1.0806,2.8
1.8,974.0,891.0,281.0,857.0,112.0,1005.0,912.0,17.8,21.0,0.4234,7.8
3.0,1146.0,1145.0,162.0,836.0,126.0,1647.0,1011.0,27.6,22.3,0.8116,14.9
3.3,1147.0,1158.0,529.0,615.0,182.0,1200.0,1435.0,12.9,24.5,0.363,15.3
1.7,1093.0,944.0,71.0,711.0,85.0,1655.0,785.0,29.5,42.7,1.7316,9.1
1.5,928.0,748.0,198.0,900.0,126.0,900.0,685.0,7.3,36.8,0.3779,4.7
3.4,1458.0,1090.0,436.0,553.0,147.0,1383.0,1898.0,10.7,65.0,0.8378,13.2
1.5,915.0,774.0,358.0,911.0,147.0,839.0,629.0,-0.2,40.2,0.2478,5.2
1.4,1114.0,958.0,89.0,663.0,42.0,1836.0,1167.0,26.8,60.5,2.1008,9.5
3.5,1181.0,1183.0,191.0,792.0,148.0,1711.0,1432.0,23.1,27.2,0.7575,16.1
0.9,883.0,705.0,51.0,1133.0,65.0,1422.0,655.0,15.4,58.8,1.0215,3.9
0.8,868.0,736.0,32.0,894.0,39.0,1548.0,638.0,24.9,57.3,1.7822,4.5
1.1,975.0,707.0,192.0,860.0,128.0,902.0,1107.0,3.4,54.7,0.4323,3.9
0.96,873.0,565.0,102.0,1097.0,83.0,793.0,494.0,3.1,44.8,0.3473,1.8
1.5,974.0,763.0,239.0,861.0,174.0,865.0,1076.0,4.2,40.9,0.3417,5.0
3.5,1314.0,1262.0,516.0,531.0,111.0,1754.0,1564.0,18.7,66.3,1.414,18.8
0.9,819.0,655.0,103.0,1222.0,47.0,1104.0,507.0,21.6,33.4,0.8519,3.0
0.8,819.0,613.0,89.0,1118.0,57.0,1060.0,500.0,9.9,71.4,0.8736,2.4
1.3,923.0,733.0,316.0,962.0,150.0,1124.0,740.0,6.8,87.1,0.8652,4.4
2.1,1233.0,926.0,260.0,617.0,153.0,1293.0,917.0,21.7,35.1,0.8993,8.7
0.4,803.0,466.0,33.0,1451.0,30.0,1034.0,449.0,14.8,65.5,1.0965,0.7
0.42000000000000004,755.0,517.0,38.0,1325.0,27.4,1091.0,487.0,14.9,56.8,0.9541,1.2
0.6,911.0,599.0,32.0,1189.0,48.0,1517.0,633.0,16.1,80.0,1.4562,2.2
3.6,1298.0,1082.0,452.0,642.0,148.0,1287.0,1237.0,4.7,82.8,0.7157,13.0
3.54,1257.0,1299.0,438.2,550.0,115.8,1864.0,1302.0,18.5,67.0,1.4135,20.1
4.56,1399.0,1416.0,559.6,485.0,159.6,1894.0,1671.0,17.6,64.9,1.2925,24.5
1.0,851.0,718.0,57.0,1134.0,67.0,1471.0,561.0,22.0,44.9,1.1699,4.1
1.2,973.0,675.0,184.0,903.0,94.0,1029.0,905.0,7.4,71.7,0.7434,3.4
5.1,1676.0,1534.0,305.0,496.0,131.0,2413.0,1828.0,20.4,55.7,1.3205,29.3
1.1,924.0,648.0,63.0,1272.0,74.0,1186.0,465.0,14.5,39.0,0.6428,2.9
0.6,799.0,658.0,26.0,1216.0,43.0,1254.0,461.0,36.7,17.1,1.0398,3.1
0.7,986.0,602.0,96.0,878.0,61.0,1211.0,851.0,15.8,65.9,1.1792,2.3
0.6,835.0,546.0,102.0,1111.0,81.0,768.0,391.0,12.2,35.6,0.5038,1.5
6.3,1467.0,1643.0,615.0,467.0,201.0,2088.0,1749.0,23.2,36.9,1.0346,34.1
4.8,1501.0,1501.0,248.0,588.0,101.0,2486.0,1517.0,21.5,65.8,1.6688,27.9
1.6799999999999997,1102.0,1007.0,120.0,777.0,131.0,1534.0,880.0,39.2,16.4,1.1439,10.8
2.8,1374.0,999.0,379.0,598.0,138.0,1316.0,1776.0,10.2,67.3,0.8373,10.6
7.2,1771.0,1690.0,368.0,461.0,125.0,2572.0,1982.0,16.1,56.5,1.0274,36.2
2.2,1303.0,1102.0,403.0,536.0,116.0,1488.0,1323.0,11.8,66.3,0.9174,13.5
2.9,1403.0,1229.0,381.0,523.0,63.0,1872.0,1365.0,20.9,66.3,1.6165,17.6
0.5,879.0,658.0,25.0,1121.0,39.0,1511.0,564.0,24.4,48.3,1.4499,3.1
1.4,987.0,816.0,236.0,816.0,156.0,959.0,821.0,11.3,33.5,0.4476,6.1
2.2,986.0,1005.0,187.2,752.0,93.8,1439.0,907.0,31.7,20.5,0.9428,10.7
1.0,1052.0,734.0,115.0,799.0,90.0,1109.0,588.0,19.4,32.4,0.7239,4.4
1.5,979.0,910.0,123.0,1028.0,92.0,1396.0,788.0,24.2,21.7,0.6451,8.3
2.0,1021.0,896.0,340.0,741.0,140.0,1314.0,907.0,14.2,66.4,1.0673,7.9
0.5,909.0,567.0,33.0,1542.0,47.0,1287.0,418.0,9.6,75.4,0.9004,1.8
